forpa,tailo,sampa,ipa,ipa_tone
bue,pue,b-u-E,p-u-e,p-u_{0}-e_{0}
bueh,pueh,b-u-E?,p-u-eʔ,p-u_{0}-eʔ_{0}
buh,puh,b-u?,p-uʔ,p-uʔ_{0}
bui,pui,b-u-i,p-u-i,p-u_{0}-i_{0}
buih,puih,b-u-i?,p-u-iʔ,p-u_{0}-iʔ_{0}
buinn,puinn,b-u~-i~,p-u-ĩ,p-u_{0}-ĩ_{0}
bun,pun,b-un,p-un,p-un_{0}
but,put,b-ut,p-ut,p-ut_{0}
ca,tsha,ts-a,t͡sʰ-a,t͡sʰ-a_{0}
cah,tshah,ts-a?,t͡sʰ-aʔ,t͡sʰ-aʔ_{0}
cai,tshai,ts-ai,t͡sʰ-ai,t͡sʰ-ai_{0}
cainn,tshainn,ts-a~i~,t͡sʰ-ãi,t͡sʰ-ãi_{0}
cak,tshak,ts-ak,t͡sʰ-ak,t͡sʰ-ak_{0}
cam,tsham,ts-am,t͡sʰ-am,t͡sʰ-am_{0}
can,tshan,ts-an,t͡sʰ-an,t͡sʰ-an_{0}
cang,tshang,ts-aN,t͡sʰ-aŋ,t͡sʰ-aŋ_{0}
cann,tshann,ts-a~,t͡sʰ-ã,t͡sʰ-ã_{0}
cannh,tshannh,ts-a~?,t͡sʰ-ãʔ,t͡sʰ-ãʔ_{0}
cap,tshap,ts-ap,t͡sʰ-ap,t͡sʰ-ap_{0}
cat,tshat,ts-at,t͡sʰ-at,t͡sʰ-at_{0}
cau,tshau,ts-au,t͡sʰ-au,t͡sʰ-au_{0}
cauh,tshauh,ts-au?,t͡sʰ-auʔ,t͡sʰ-auʔ_{0}
ce,tshe,ts-E,t͡sʰ-e,t͡sʰ-e_{0}
ceh,tsheh,ts-E?,t͡sʰ-eʔ,t͡sʰ-eʔ_{0}
cen,tshian,ts-i-En,t͡sʰ-i-en,t͡sʰ-i_{0}-en_{0}
cenn,tshenn,ts-e~,t͡sʰ-ẽ,t͡sʰ-ẽ_{0}
cennh,tshennh,ts-e~?,t͡sʰ-ẽʔ,t͡sʰ-ẽʔ_{0}
cer,tsho,ts-@,t͡sʰ-ə,t͡sʰ-ə_{0}
cer,tsher,ts-@,t͡sʰ-ə,t͡sʰ-ə_{0}
cerh,tshoh,ts-@?,t͡sʰ-əʔ,t͡sʰ-əʔ_{0}
cet,tshiat,ts-i-Et,t͡sʰ-i-et,t͡sʰ-i_{0}-et_{0}
ci,tshi,ts-i,t͡sʰ-i,t͡sʰ-i_{0}
cia,tshia,ts-i-a,t͡sʰ-i-a,t͡sʰ-i_{0}-a_{0}
ciah,tshiah,ts-i-a?,t͡sʰ-i-aʔ,t͡sʰ-i_{0}-aʔ_{0}
ciak,tshiak,ts-i-ak,t͡sʰ-i-ak,t͡sʰ-i_{0}-ak_{0}
ciam,tshiam,ts-i-am,t͡sʰ-i-am,t͡sʰ-i_{0}-am_{0}
ciang,tshiang,ts-i-aN,t͡sʰ-i-aŋ,t͡sʰ-i_{0}-aŋ_{0}
ciann,tshiann,ts-i~-a~,t͡sʰ-i-ã,t͡sʰ-i_{0}-ã_{0}
ciap,tshiap,ts-i-ap,t͡sʰ-i-ap,t͡sʰ-i_{0}-ap_{0}
ciau,tshiau,ts-i-au,t͡sʰ-i-au,t͡sʰ-i_{0}-au_{0}
ciauh,tshiauh,ts-i-au?,t͡sʰ-i-auʔ,t͡sʰ-i_{0}-auʔ_{0}
cien,tshian,ts-i-En,t͡sʰ-i-en,t͡sʰ-i_{0}-en_{0}
cier,tshio,ts-i-@,t͡sʰ-i-ə,t͡sʰ-i_{0}-ə_{0}
cierh,tshioh,ts-i-@?,t͡sʰ-i-əʔ,t͡sʰ-i_{0}-əʔ_{0}
ciet,tshiat,ts-i-Et,t͡sʰ-i-et,t͡sʰ-i_{0}-et_{0}
cih,tshih,ts-i?,t͡sʰ-iʔ,t͡sʰ-iʔ_{0}
cii,tshir,ts-1,t͡sʰ-ɨ,t͡sʰ-ɨ_{0}
cik,tshik,ts-ik,t͡sʰ-ik,t͡sʰ-ik_{0}
cim,tshim,ts-im,t͡sʰ-im,t͡sʰ-im_{0}
cin,tshin,ts-in,t͡sʰ-in,t͡sʰ-in_{0}
cing,tshing,ts-iN,t͡sʰ-iŋ,t͡sʰ-iŋ_{0}
cinn,tshinn,ts-i~,t͡sʰ-ĩ,t͡sʰ-ĩ_{0}
cinnh,tshinnh,ts-i~?,t͡sʰ-ĩʔ,t͡sʰ-ĩʔ_{0}
ciok,tshiok,ts-i-Ok,t͡sʰ-i-ɔk,t͡sʰ-i_{0}-ɔk_{0}
ciong,tshiong,ts-i-ON,t͡sʰ-i-ɔŋ,t͡sʰ-i_{0}-ɔŋ_{0}
cionn,tshionn,ts-i~-o~,t͡sʰ-i-ɔ̃,t͡sʰ-i_{0}-ɔ̃_{0}
cip,tship,ts-ip,t͡sʰ-ip,t͡sʰ-ip_{0}
cit,tshit,ts-it,t͡sʰ-it,t͡sʰ-it_{0}
ciu,tshiu,ts-i-u,t͡sʰ-i-u,t͡sʰ-i_{0}-u_{0}
ciuh,tshiuh,ts-i-u?,t͡sʰ-i-uʔ,t͡sʰ-i_{0}-uʔ_{0}
ciunn,tshiunn,ts-i~-u~,t͡sʰ-i-ũ,t͡sʰ-i_{0}-ũ_{0}
cng,tshng,ts-@N,t͡sʰ-ŋ̩,t͡sʰ-ŋ̩_{0}
